Dataset,Attack_Label,MITRE_ATT_CK_Tactic,MITRE_ATT_CK_Technique_Example,Cyber_Kill_Chain_Phase
NF-CICIDS2018-v3,Benign,-,-,-
NF-CICIDS2018-v3,DDOS_attack-HOIC,Impact,T1498.001 - Direct Network Flood,Actions on Objectives
NF-CICIDS2018-v3,FTP-BruteForce,Credential_Access,T1110.001 - Password Guessing,Exploitation
NF-CICIDS2018-v3,DDoS_attacks-LOIC-HTTP,Impact,T1498.001 - Direct Network Flood,Actions on Objectives
NF-CICIDS2018-v3,Bot,Command_and_Control,T1071 - Application Layer Protocol,Command and Control
NF-CICIDS2018-v3,SSH-Bruteforce,Credential_Access,T1110.001 - Password Guessing,Exploitation
NF-CICIDS2018-v3,Infilteration,Lateral_Movement,T1071 - Application Layer Protocol,Actions on Objectives
NF-CICIDS2018-v3,DoS_attacks-SlowHTTPTest,Impact,T1499.002 - Service Exhaustion Flood,Actions on Objectives
NF-CICIDS2018-v3,DoS_attacks-Hulk,Impact,T1498.001 - Direct Network Flood,Actions on Objectives
NF-CICIDS2018-v3,DoS_attacks-GoldenEye,Impact,T1499.002 - Service Exhaustion Flood,Actions on Objectives
NF-CICIDS2018-v3,DoS_attacks-Slowloris,Impact,T1499.002 - Service Exhaustion Flood,Actions on Objectives
NF-CICIDS2018-v3,DDOS_attack-LOIC-UDP,Impact,T1498.001 - Direct Network Flood,Actions on Objectives
NF-CICIDS2018-v3,Brute_Force_-Web,Credential_Access,T1110.001 - Password Guessing,Exploitation
NF-CICIDS2018-v3,Brute_Force_-XSS,Initial_Access,T1189 - Drive-by Compromise (XSS),Delivery
NF-CICIDS2018-v3,SQL_Injection,Initial_Access,T1190 - Exploit Public-Facing Application,Exploitation
